Source,Target,Weight,Sigmoid
22993377,22660201,2,0.8807970779778823
25811020,1390248,2,0.8807970779778823
36519040,35563024,11,0.999983298578152
15350898,36837280,4,0.9820137900379085
31046054,7691631,17,0.9999999586006244
447036,206084,1,0.7310585786300049
14119537,10066825,1,0.7310585786300049
24891661,38434858,5,0.9933071490757153
16286131,2203645,3,0.9525741268224334
19939216,16384837,3,0.9525741268224334
36817565,35210580,17,0.9999999586006244
206084,4106792,12,0.9999938558253978
34133681,7804910,1,0.7310585786300049
36420691,714074,1,0.7310585786300049
20884782,8556864,3,0.9525741268224334
16523688,11778024,1,0.7310585786300049
27727916,23096959,1,0.7310585786300049
447184,238972,2,0.8807970779778823
20580498,7691631,19,0.9999999943972036
1084114,19504824,1,0.7310585786300049
363387,238972,1,0.7310585786300049
12146969,20775600,7,0.9990889488055994
12888993,38982731,4,0.9820137900379085
11061773,31404632,2,0.8807970779778823
11061773,24560307,2,0.8807970779778823
11778024,32033179,2,0.8807970779778823
24560307,8962829,1,0.7310585786300049
32655656,23770421,1,0.7310585786300049
35210580,36817565,2,0.8807970779778823
943149,37559299,4,0.9820137900379085
9934972,6296790,1,0.7310585786300049
9996255,22395078,3,0.9525741268224334
22442668,20580498,56,1.0
2296970,1283503,1,0.7310585786300049
15693680,36960321,2,0.8807970779778823
24777832,22878143,1,0.7310585786300049
7551773,25033964,1,0.7310585786300049
11167738,16415622,2,0.8807970779778823
4268140,1424470,3,0.9525741268224334
658518,33655518,3,0.9525741268224334
20775600,12146969,6,0.9975273768433653
658518,33653601,18,0.9999999847700205
33744138,15836199,41,1.0
4875730,8629417,1,0.7310585786300049
6093316,20929025,9,0.9998766054240137
31790386,20929025,2,0.8807970779778823
36960293,36960321,26,0.999999999994891
26109545,23096959,1,0.7310585786300049
65252,11980558,1,0.7310585786300049
33653652,32897150,1,0.7310585786300049
19387849,14135470,2,0.8807970779778823
29250115,2081289,2,0.8807970779778823
1549395,3195124,1,0.7310585786300049
11658016,21242339,1,0.7310585786300049
12590126,28924109,1,0.7310585786300049
8739960,465681,1,0.7310585786300049
7691631,36960321,23,0.9999999998973812
17958761,21915931,3,0.9525741268224334
18128548,7691631,3,0.9525741268224334
7691631,17053199,1,0.7310585786300049
10035842,9568894,2,0.8807970779778823
24871990,32940722,2,0.8807970779778823
1385122,2081289,1,0.7310585786300049
29882262,21273155,1,0.7310585786300049
21273155,29882262,1,0.7310585786300049
9018691,10851820,2,0.8807970779778823
4468112,206084,1,0.7310585786300049
27888295,4000279,7,0.9990889488055994
2983241,7251076,2,0.8807970779778823
18113139,2081289,2,0.8807970779778823
36960321,15693680,1,0.7310585786300049
11589713,20580498,2,0.8807970779778823
143580,286516,3,0.9525741268224334
35294259,10697582,5,0.9933071490757153
24516568,6248645,7,0.9990889488055994
32403967,12791642,4,0.9820137900379085
11589713,23096959,1,0.7310585786300049
26805193,19036577,1,0.7310585786300049
34927706,22737329,4,0.9820137900379085
37219287,2665618,2,0.8807970779778823
13347640,238986,2,0.8807970779778823
20390951,16522983,2,0.8807970779778823
28366058,7691631,9,0.9998766054240137
4493652,6804324,1,0.7310585786300049
10067157,9996255,1,0.7310585786300049
14562056,19076737,2,0.8807970779778823
31089468,25104780,1,0.7310585786300049
31404632,11061773,3,0.9525741268224334
34082421,5532320,2,0.8807970779778823
18388099,5710341,1,0.7310585786300049
23774298,23770421,2,0.8807970779778823
8043756,38388440,83,1.0
35573790,34105868,1,0.7310585786300049
11753734,19008038,2,0.8807970779778823
8411137,8432681,5,0.9933071490757153
1520275,614070,1,0.7310585786300049
25126616,16241224,1,0.7310585786300049
16819795,11778024,1,0.7310585786300049
2081289,14448779,12,0.9999938558253978
27051771,23096959,1,0.7310585786300049
22584039,2055965,1,0.7310585786300049
21357099,3016562,1,0.7310585786300049
24657821,39211337,88,1.0
35648870,34870728,1,0.7310585786300049
6059135,6059122,1,0.7310585786300049
31315021,30921526,3,0.9525741268224334
34357801,34340650,1,0.7310585786300049
2183193,1103054,1,0.7310585786300049
734934,36683926,4,0.9820137900379085
15355019,11167738,2,0.8807970779778823
24195339,32405591,1,0.7310585786300049
33791453,23770421,5,0.9933071490757153
184460,735498,1,0.7310585786300049
29891188,35520634,1,0.7310585786300049
7586424,9996255,3,0.9525741268224334
16688238,16691792,1,0.7310585786300049
33112318,16691792,2,0.8807970779778823
4025121,16851127,2,0.8807970779778823
16665655,4128353,2,0.8807970779778823
9085509,3731016,1,0.7310585786300049
19716234,22766581,1,0.7310585786300049
13753636,2055965,1,0.7310585786300049
12977854,9384267,1,0.7310585786300049
11344473,27200766,2,0.8807970779778823
2935735,17085014,2,0.8807970779778823
3346602,1424470,2,0.8807970779778823
2665618,37462194,1,0.7310585786300049
35978199,31315021,3,0.9525741268224334
10064545,27788951,4,0.9820137900379085
10064545,14169882,4,0.9820137900379085
10064545,27804716,8,0.9996646498695336
10064545,27783162,4,0.9820137900379085
10064545,27828339,5,0.9933071490757153
10064545,25003905,1,0.7310585786300049
24871990,3867127,1,0.7310585786300049
29620400,16241224,1,0.7310585786300049
321278,19872239,2,0.8807970779778823
2968000,3557653,8,0.9996646498695336
21347346,31492490,9,0.9998766054240137
22355214,35120039,1,0.7310585786300049
108278,17303641,1,0.7310585786300049
11225014,13512328,1,0.7310585786300049
14120618,35310228,1,0.7310585786300049
5569059,22355214,1,0.7310585786300049
