Source,Target,Weight,Sigmoid
51556828,7691631,27,0.9999999999981204
50118546,29893472,2,0.8807970779778823
33197650,32897822,1,0.7310585786300049
32897822,33197650,1,0.7310585786300049
2310495,2381732,8,0.9996646498695336
6093316,21018299,1,0.7310585786300049
10126908,9325315,4,0.9820137900379085
52855516,3745077,6,0.9975273768433653
41881900,20929025,179,1.0
12256376,46805578,49,1.0
12256376,14562056,86,1.0
12256376,13220460,37,1.0
7691631,49029588,12,0.9999938558253978
32339800,1187853,1,0.7310585786300049
26142080,40208831,2,0.8807970779778823
47132986,46716359,1,0.7310585786300049
63537249,24560307,18,0.9999999847700205
21347346,35951404,2,0.8807970779778823
18399889,3638964,1,0.7310585786300049
5786013,53928710,10,0.9999546021312976
15799524,20415251,1,0.7310585786300049
64204546,43790903,1,0.7310585786300049
321278,27193779,4,0.9820137900379085
15443575,16999809,1,0.7310585786300049
24063576,37500192,1,0.7310585786300049
63109541,24195339,1,0.7310585786300049
39487546,37144575,35,0.9999999999999993
16256144,23947487,13,0.999997739675702
57149464,63742071,2,0.8807970779778823
25997846,321278,1,0.7310585786300049
37240232,29028775,1,0.7310585786300049
11969507,49966855,1,0.7310585786300049
6365343,34678084,9,0.9998766054240137
34678084,6365343,6,0.9975273768433653
15881968,20131603,1,0.7310585786300049
3638964,24474126,13,0.999997739675702
9325315,10045175,4,0.9820137900379085
1940673,1324028,2,0.8807970779778823
47341961,41881900,5,0.9933071490757153
47671127,47649855,4,0.9820137900379085
54503347,49598840,11,0.999983298578152
40806530,60807171,1,0.7310585786300049
49295278,12256376,2,0.8807970779778823
41881900,47341961,55,1.0
43003744,5532320,1,0.7310585786300049
52452207,55956740,1,0.7310585786300049
2203645,2725544,6,0.9975273768433653
20580498,33429211,9,0.9998766054240137
2706701,2031640,2,0.8807970779778823
14448779,2081289,7,0.9990889488055994
23272510,22442668,1,0.7310585786300049
10707658,26553597,1,0.7310585786300049
39006836,39003227,3,0.9525741268224334
24412537,16734168,1,0.7310585786300049
52452207,54575825,1,0.7310585786300049
42955150,16563587,2,0.8807970779778823
6228403,3662176,2,0.8807970779778823
10064545,41557420,1,0.7310585786300049
3195124,1786914,1,0.7310585786300049
54503347,28366058,4,0.9820137900379085
32836701,47852032,1,0.7310585786300049
26509369,20580498,1,0.7310585786300049
8135462,47609714,3,0.9525741268224334
42926209,41881900,5,0.9933071490757153
15514912,15550894,7,0.9990889488055994
8629417,16286131,15,0.999999694097773
24117313,1090311,1,0.7310585786300049
29099181,59787605,9,0.9998766054240137
41881900,44774566,73,1.0
32707901,9384267,1,0.7310585786300049
11803168,11855195,1,0.7310585786300049
56941978,4106792,1,0.7310585786300049
7691631,36960321,12,0.9999938558253978
39504796,39820044,33,0.9999999999999953
33816473,20415251,4,0.9820137900379085
31492490,35951404,33,0.9999999999999953
12310030,9992330,3,0.9525741268224334
1362490,2410676,8,0.9996646498695336
22847604,30100099,4,0.9820137900379085
16554739,507775,1,0.7310585786300049
59104105,16594532,1,0.7310585786300049
16243570,929845,1,0.7310585786300049
35552300,22737333,1,0.7310585786300049
943149,35640229,2,0.8807970779778823
7691631,51556828,65,1.0
31239705,23096959,2,0.8807970779778823
